interpretation_id,creature_id,source_id,source_term,archetype_id,narrative_function_id,additional_part,removed_part,additional_ability,removed_ability,diet and habitat,divergence,citation_id,textual_reference
int_medusa_ovid,creature_medusa,source_ovidius_metamorphoses,,archetype_victim,,,,,,,,citation_ovid_met_7,
int_medusa_apollodoro,creature_medusa,source_biblioteca,,,,"part_bronze_hands, part_wings",,,,,,citation_apollodorus_3,
int_medusa_caravaggio,creature_medusa,source_medusa_caravaggio,,archetype_victim,function_apotropaic,,,,,,,,
int_medusa_rubens,creature_medusa,source_head_of_medusa,,archetype_uncanny,,,,,,,,,
int_medusa_dante,creature_medusa,source_dante_inferno,,,function_obstacle,,,,,,,citation_dante_inferno_3,
int_medusa_shelley,creature_medusa,source_on_the_medusa,,archetype_sublime,,,,,,,,citation_shelley_1,
int_lion_dante,creature_lion,source_dante_inferno,,"archetype_pride, archetype_violence","function_obstacle, function_antagonist",,,,,,,citation_dante_inferno_4,
int_lion_aberdeen,creature_lion,source_aberdeen_bestiary,,archetype_divine_power,function_exemplum,,,,,,,citation_aberdeen_2,
int_lion_maier,creature_lion,source_atalanta_fugiens,,"archetype_prima_materia, archetype_cosmic",,,,,,,,citation_maier_2,
int_lion_apollodorus,creature_lion,source_biblioteca,,,function_antagonist,,,,,,,citation_apollodorus_4,
int_lion_rubens,creature_lion,source_hercules_nemean_lion,,,function_antagonist,,,,,,,,
int_eagle_dante,creature_eagle,source_dante_paradiso,,archetype_justice,function_guide,,,,,,,citation_dante_paradiso_1,
int_eagle_ovid,creature_eagle,source_ovidius_metamorphoses,,archetype_divine_power,function_agent,,,,,,,citation_ovid_met_8,
int_eagle_aberdeen,creature_eagle,source_aberdeen_bestiary,,archetype_rebirth,function_exemplum,,,,,,,,
int_eagle_rembrandt,creature_eagle,source_abduction_ganymede,,,,,,,,,,,
int_snake_ovid,creature_snake,source_ovidius_metamorphoses,,archetype_metamorphosis,function_transformation,,,,,,,citation_ovid_met_9,
int_snake_dante,creature_snake,source_dante_inferno,,,function_punisher,,,,,,,citation_dante_inferno_5,
int_snake_ovid_2,creature_snake,source_ovidius_metamorphoses,,archetype_chaos,function_antagonist,,,,,,,citation_ovid_met_10,
int_snake_aberdeen,creature_snake,source_aberdeen_bestiary,,"archetype_seduction, archetype_rebirth",function_exemplum,,,,,,,citation_aberdeen_3,
int_bull_ovid,creature_bull,source_ovidius_metamorphoses,,archetype_divine_power,function_agent,,,,,,,citation_ovid_met_11,
